LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,SCH_ABSENT_AM_M,SCH_ABSENT_AS_M,SCH_ABSENT_BL_M,SCH_ABSENT_HI_M,SCH_ABSENT_MU_M,SCH_ABSENT_PI_M,SCH_ABSENT_WH_M,SCH_ABSENT_AM_F,SCH_ABSENT_AS_F,SCH_ABSENT_BL_F,SCH_ABSENT_HI_F,SCH_ABSENT_MU_F,SCH_ABSENT_PI_F,SCH_ABSENT_WH_F,SCH_ABSENT_EUT,SCH_ABSENT_IDEA_M,SCH_ABSENT_IDEA_F,SCH_ABSENT_504_M,SCH_ABSENT_504_F,SCH_ABSENT_LEP_M,SCH_ABSENT_LEP_F,SCH_ABSENT_HMENRL_M,SCH_ABSENT_HMENRL_F
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6619,Briargate Preschool,80192006619,-8,0,0,0,0,-8,0,0,0,-8,0,0,-8,0,0,0,0,-8,-8,-8,-8,-8,-8
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6631,Discovery Canyon Campus Elementary School,80192006631,-8,0,3,10,1,0,18,-8,0,0,6,3,-8,12,53,6,2,2,1,1,0,-8,-8
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6745,New Summit Charter Academy,80192006745,0,5,2,9,8,-8,40,0,1,0,12,7,1,64,149,5,8,5,5,1,1,2,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6758,Legacy Peak Elementary School,80192006758,0,2,0,5,3,0,7,0,0,0,7,2,-8,9,35,4,2,1,1,1,1,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6775,Home School Academy,80192006775,-8,0,1,4,4,-8,33,0,0,2,5,4,1,31,85,0,0,0,-8,1,-8,-8,-8
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6788,Chinook Trail Middle School,80192006788,0,3,1,10,7,0,37,-8,2,4,8,6,-8,26,104,7,4,7,7,3,1,-8,-8
CO,COLORADO,801950,School District N. 14 in the county of Adams & State of Colo,9,Adams City Middle School,80195000009,2,-8,4,218,5,1,25,1,-8,3,168,3,1,14,445,48,22,4,0,136,82,8,5
CO,COLORADO,801950,School District N. 14 in the county of Adams & State of Colo,10,Adams City High School,80195000010,1,1,14,701,4,-8,47,7,2,9,508,4,2,40,-8,128,39,11,13,319,172,8,14
CO,COLORADO,801950,School District N. 14 in the county of Adams & State of Colo,11,Alsup Elementary School,80195000011,1,-8,0,94,2,1,17,-8,-8,-8,66,3,-8,9,193,31,7,-8,0,62,40,3,3
CO,COLORADO,801950,School District N. 14 in the county of Adams & State of Colo,12,Central Elementary School,80195000012,0,-8,14,92,3,-8,15,-8,0,6,80,1,0,12,223,19,19,1,2,38,48,7,9
CO,COLORADO,801950,School District N. 14 in the county of Adams & State of Colo,13,Dupont Elementary School,80195000013,0,-8,1,96,1,-8,12,0,0,2,69,1,-8,7,189,16,9,0,1,71,49,1,2
CO,COLORADO,801950,School District N. 14 in the county of Adams & State of Colo,15,Kearney Middle School,80195000015,2,1,3,213,3,-8,28,2,-8,5,175,1,1,19,453,30,18,10,1,99,83,11,3
CO,COLORADO,801950,School District N. 14 in the county of Adams & State of Colo,16,Kemp Elementary School,80195000016,-8,-8,0,88,1,-8,7,1,-8,2,62,1,-8,12,174,15,10,1,0,44,38,4,1
CO,COLORADO,801950,School District N. 14 in the county of Adams & State of Colo,17,Monaco Elementary School,80195000017,-8,-8,0,42,0,-8,8,-8,-8,1,41,0,-8,10,102,14,5,1,1,24,25,3,4
