LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_INTERNET_FIBER,SCH_INTERNET_WIFI,SCH_INTERNET_SCHDEV,SCH_INTERNET_STUDDEV,SCH_INTERNET_WIFIENDEV
CO,Colorado,0802280,Aspen School District No. 1 In The County Of Pitkin And Sta,45,Aspen Elementary School,080228000045,No,Yes,Yes,Yes,No,600
CO,Colorado,0802280,Aspen School District No. 1 In The County Of Pitkin And Sta,46,Aspen Middle School,080228000046,No,Yes,Yes,Yes,No,450
CO,Colorado,0802280,Aspen School District No. 1 In The County Of Pitkin And Sta,47,Aspen High School,080228000047,No,Yes,Yes,Yes,Yes,85
CO,Colorado,0802280,Aspen School District No. 1 In The County Of Pitkin And Sta,1703,Aspen Community Charter School,080228001703,No,Yes,Yes,Yes,No,75
CO,Colorado,0802280,Aspen School District No. 1 In The County Of Pitkin And Sta,1982,Aspen Preschool,080228001982,No,Yes,Yes,No,No,0
CO,Colorado,0802310,Weld County School District No. Re-9,49,Highland Elementary School,080231000049,No,No,Yes,Yes,Yes,186
CO,Colorado,0802310,Weld County School District No. Re-9,50,Highland High School,080231000050,No,Yes,Yes,Yes,Yes,315
CO,Colorado,0802310,Weld County School District No. Re-9,1466,Highland Middle School,080231001466,No,Yes,Yes,Yes,Yes,136
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,52,Altura Elementary School,080234000052,No,Yes,Yes,Yes,No,468
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,54,Aurora Hills Middle School,080234000054,No,Yes,Yes,Yes,No,926
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,55,Boston K-8 School,080234000055,No,Yes,Yes,Yes,No,421
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,56,Aurora Central High School,080234000056,No,Yes,Yes,Yes,No,2013
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,57,Clyde Miller K-8,080234000057,No,Yes,Yes,Yes,No,493
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,58,Crawford Elementary School,080234000058,No,Yes,Yes,Yes,No,402
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,59,Dartmouth Elementary School,080234000059,No,Yes,Yes,Yes,No,417
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,60,East Middle School,080234000060,No,Yes,Yes,Yes,No,947
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,61,Elkhart Elementary School,080234000061,No,Yes,Yes,Yes,No,506
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,62,Fulton Academy Of Excellence,080234000062,No,Yes,Yes,Yes,No,360
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,63,Gateway High School,080234000063,No,Yes,Yes,Yes,No,1576
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,64,Hinkley High School,080234000064,No,Yes,Yes,Yes,No,2143
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,66,Jewell Elementary School,080234000066,No,Yes,Yes,Yes,No,527
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,67,Kenton Elementary School,080234000067,No,Yes,Yes,Yes,No,428
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,68,Lansing Elementary Community School,080234000068,No,Yes,Yes,Yes,No,338
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,69,Laredo Elementary School,080234000069,No,Yes,Yes,Yes,No,418
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,70,Lyn Knoll Elementary School,080234000070,No,Yes,Yes,Yes,No,301
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,72,Montview Math & Health Sciences Elementary School,080234000072,No,Yes,Yes,Yes,No,306
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,73,Mrachek Middle School,080234000073,No,Yes,Yes,Yes,No,994
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,74,North Middle School Health Sciences And Technology,080234000074,No,Yes,Yes,Yes,No,696
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,75,Paris Elementary School,080234000075,No,Yes,Yes,Yes,No,287
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,76,Park Lane Elementary School,080234000076,No,Yes,Yes,Yes,No,253
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,77,Sable Elementary School,080234000077,No,Yes,Yes,Yes,No,413
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,78,Sixth Avenue Elementary School,080234000078,No,Yes,Yes,Yes,No,580
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,79,South Middle School,080234000079,No,Yes,Yes,Yes,No,393
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,80,Vaughn Elementary School,080234000080,No,Yes,Yes,Yes,No,351
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,81,Virginia Court Elementary School,080234000081,No,Yes,Yes,Yes,No,412
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,82,Aurora West College Preparatory Academy,080234000082,No,Yes,Yes,Yes,No,1217
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,83,Wheeling Elementary School,080234000083,No,Yes,Yes,Yes,No,517
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,84,William Smith High School,080234000084,No,Yes,Yes,Yes,No,413
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,85,Yale Elementary School,080234000085,No,Yes,Yes,Yes,No,499
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,1294,Vassar Elementary School,080234001294,No,Yes,Yes,Yes,No,507
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,1295,Dalton Elementary School,080234001295,No,Yes,Yes,Yes,No,428
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,1296,Arkansas Elementary School,080234001296,No,Yes,Yes,Yes,No,443
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,1322,Columbia Middle School,080234001322,No,Yes,Yes,Yes,No,751
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,1323,Iowa Elementary School,080234001323,No,Yes,Yes,Yes,No,471
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,1324,Tollgate Elementary School Of Expeditionary Learni,080234001324,No,Yes,Yes,Yes,No,532
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,1388,Century Elementary School,080234001388,No,Yes,Yes,Yes,No,279
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,1389,Rangeview High School,080234001389,No,Yes,Yes,Yes,No,2318
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,1432,Side Creek Elementary School,080234001432,No,Yes,Yes,Yes,No,488
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,1627,Laredo Child Development Center,080234001627,No,Yes,Yes,Yes,No,270
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,1674,Aurora Quest K-8,080234001674,No,Yes,Yes,Yes,No,645
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,1759,Aurora Academy Charter School,080234001759,No,Yes,Yes,Yes,No,568
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,1789,Options School,080234001789,No,Yes,Yes,Yes,No,876
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,1881,Murphy Creek K-8 School,080234001881,No,Yes,Yes,Yes,No,707
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,1916,Lotus School For Excellence,080234001916,No,-13,-13,-13,-13,1044
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,1927,Peoria Elementary School,080234001927,No,Yes,Yes,Yes,No,373
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,2009,Aurora Frontier K-8,080234002009,No,Yes,Yes,Yes,No,817
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,6318,Global Village Academy Aurora,080234006318,No,Yes,Yes,Yes,No,947
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,6322,Vanguard Classical School - West,080234006322,No,Yes,Yes,Yes,No,421
