LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_DUAL_IND,SCH_DUALENR_HI_M,SCH_DUALENR_HI_F,SCH_DUALENR_AM_M,SCH_DUALENR_AM_F,SCH_DUALENR_AS_M,SCH_DUALENR_AS_F,SCH_DUALENR_HP_M,SCH_DUALENR_HP_F,SCH_DUALENR_BL_M,SCH_DUALENR_BL_F,SCH_DUALENR_WH_M,SCH_DUALENR_WH_F,SCH_DUALENR_TR_M,SCH_DUALENR_TR_F,TOT_DUAL_M,TOT_DUAL_F,SCH_DUALENR_LEP_M,SCH_DUALENR_LEP_F,SCH_DUALENR_IDEA_M,SCH_DUALENR_IDEA_F
CO,Colorado,0801920,Academy School District No. 20,6434,Village High School,080192006434,No,Yes,1,1,0,0,0,0,0,0,0,0,4,6,0,3,5,10,0,0,0,0
CO,Colorado,0801920,Academy School District No. 20,6447,Tca College Pathways,080192006447,No,Yes,11,7,0,0,4,6,1,1,2,1,65,98,6,6,89,119,0,0,2,0
CO,Colorado,0801920,Academy School District No. 20,6478,Journey K8,080192006478,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,6616,Discovery Canyon Campus Middle School,080192006616,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,6619,Briargate Preschool,080192006619,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,6631,Discovery Canyon Campus Elementary School,080192006631,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,6745,New Summit Charter Academy,080192006745,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,6758,Legacy Peak Elementary School,080192006758,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,6788,Chinook Trail Middle School,080192006788,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,9,Adams City Middle School,080195000009,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
