School Year,Division Number,Division Name,School Number,School Name,"Total Dropouts
                            Grades 7 - 12"
2022-2023,75,Prince William County ,490,E.H. Marsteller Middle,               1
2022-2023,75,Prince William County ,870,Forest Park High,              26
2022-2023,75,Prince William County ,520,Fred M. Lynn Middle,               1
2022-2023,75,Prince William County ,300,Freedom High ,             121
2022-2023,75,Prince William County ,5130,Gainesville High,               9
2022-2023,75,Prince William County ,960,Gainesville Middle,               1
2022-2023,75,Prince William County ,690,Gar-Field High,              95
2022-2023,75,Prince William County ,640,George M. Hampton Middle,               2
2022-2023,75,Prince William County ,880,Louise A. Benton Middle,               1
2022-2023,75,Prince William County ,80,Osbourn Park High,              55
2022-2023,75,Prince William County ,501,Parkside Middle,               8
2022-2023,75,Prince William County ,1060,Patriot High,              13
2022-2023,75,Prince William County ,140,Potomac High,              58
2022-2023,75,Prince William County ,170,Potomac Middle,               7
2022-2023,75,Prince William County ,414,Potomac Shores Middle,               3
2022-2023,75,Prince William County ,591,Rippon Middle,               3
2022-2023,75,Prince William County ,480,Unity Braxton Middle ,               5
2022-2023,75,Prince William County ,680,Unity Reed High,             166
2022-2023,75,Prince William County ,60,Woodbridge High,              42
2022-2023,75,Prince William County ,560,Woodbridge Middle,               1
2022-2023,77,Pulaski County ,560,Pulaski County Middle,               1
2022-2023,77,Pulaski County ,10,Pulaski County Senior High,              15
2022-2023,122,Radford City ,102,Radford City Virtual,               8
2022-2023,122,Radford City ,41,Radford High,               3
2022-2023,78,Rappahannock County ,230,Rappahannock County High,               3
2022-2023,123,Richmond City ,30,Albert Hill Middle,               7
2022-2023,123,Richmond City ,850,Armstrong High ,              71
2022-2023,123,Richmond City ,50,Binford Middle,               5
2022-2023,123,Richmond City ,621,Franklin Military Academy,               3
2022-2023,123,Richmond City ,741,George Wythe High,             260
2022-2023,123,Richmond City ,470,Henderson Middle,               2
2022-2023,123,Richmond City ,1510,Huguenot High,             113
2022-2023,123,Richmond City ,730,John Marshall High,              25
2022-2023,123,Richmond City ,3105,Lucille M. Brown Middle,               6
2022-2023,123,Richmond City ,770,Martin Luther King Jr. Middle ,               9
2022-2023,123,Richmond City ,3110,Richmond Alternative,              62
2022-2023,123,Richmond City ,1631,River City Middle,              26
2022-2023,123,Richmond City ,480,Thomas C. Boushall Middle,               7
2022-2023,123,Richmond City ,20,Thomas Jefferson High,              38
2022-2023,79,Richmond County ,210,Rappahannock High,               3
2022-2023,124,Roanoke City ,280,Addison Aerospace Magnet Middle,               9
2022-2023,124,Roanoke City ,210,Breckinridge Middle,               6
2022-2023,124,Roanoke City ,450,James Madison Middle,               5
2022-2023,124,Roanoke City ,230,John P. Fishwick Middle,               5
2022-2023,124,Roanoke City ,390,Patrick Henry High,              61
