LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_SCICLASSES_BIOL,SCH_SCICCERT_BIOL,SCH_SCIENR_BIOL_HI_M,SCH_SCIENR_BIOL_HI_F,SCH_SCIENR_BIOL_AM_M,SCH_SCIENR_BIOL_AM_F,SCH_SCIENR_BIOL_AS_M,SCH_SCIENR_BIOL_AS_F,SCH_SCIENR_BIOL_HP_M,SCH_SCIENR_BIOL_HP_F,SCH_SCIENR_BIOL_BL_M,SCH_SCIENR_BIOL_BL_F,SCH_SCIENR_BIOL_WH_M,SCH_SCIENR_BIOL_WH_F,SCH_SCIENR_BIOL_TR_M,SCH_SCIENR_BIOL_TR_F,TOT_SCIENR_BIOL_M,TOT_SCIENR_BIOL_F,SCH_SCIENR_BIOL_LEP_M,SCH_SCIENR_BIOL_LEP_F,SCH_SCIENR_BIOL_IDEA_M,SCH_SCIENR_BIOL_IDEA_F
HI,HAWAII,1500030,Hawaii Department of Education,81,Eleele Elementary School,150003000081,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,82,Hanalei Elementary School,150003000082,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,83,Kalaheo Elementary School,150003000083,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,84,Kapaa Elementary School,150003000084,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,85,Kapaa High School,150003000085,No,6,6,7,10,0,1,30,28,40,45,0,0,22,33,8,19,107,136,2,1,19,6
HI,HAWAII,1500030,Hawaii Department of Education,86,Kauai High School,150003000086,No,16,15,7,8,1,0,75,102,37,57,1,0,23,34,14,15,158,216,10,12,20,4
HI,HAWAII,1500030,Hawaii Department of Education,88,Kekaha Elementary School,150003000088,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,89,Kilauea Elementary School,150003000089,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,90,Koloa Elementary School,150003000090,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,91,Niihau High & Elementary School,150003000091,No,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,92,Waimea Canyon Middle School,150003000092,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,93,Waimea High School,150003000093,No,16,8,6,1,0,0,39,26,56,50,0,0,14,9,5,9,120,95,10,5,18,5
HI,HAWAII,1500030,Hawaii Department of Education,94,Elsie H Wilcox Elementary School,150003000094,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,96,Hawaii School for the Deaf and Blind,150003000096,No,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,98,Olomana School,150003000098,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,99,Mililani Mauka Elementary School,150003000099,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,100,Castle High School,150003000100,No,14,12,17,17,0,1,44,54,87,95,3,4,18,16,16,10,185,197,4,3,40,20
HI,HAWAII,1500030,Hawaii Department of Education,101,Aikahi Elementary School,150003000101,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,102,Mililani High School,150003000102,No,38,30,38,43,0,1,150,181,67,64,10,6,44,44,68,72,377,411,3,2,47,19
HI,HAWAII,1500030,Hawaii Department of Education,103,Moanalua High School,150003000103,No,25,20,20,21,1,1,155,169,35,44,8,12,9,30,21,28,249,305,5,7,31,18
HI,HAWAII,1500030,Hawaii Department of Education,104,Moanalua Elementary School,150003000104,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,105,Mililani Waena Elementary School,150003000105,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,106,Mililani Uka Elementary School,150003000106,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,107,Makalapa Elementary School,150003000107,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,108,Leilehua High School,150003000108,No,31,19,38,57,0,0,84,108,79,63,16,19,44,40,26,38,287,325,22,19,45,20
HI,HAWAII,1500030,Hawaii Department of Education,109,Waiau Elementary School,150003000109,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,110,Waianae High School,150003000110,No,18,18,27,31,2,0,43,33,245,228,3,5,14,5,24,20,358,322,19,15,66,33
